State, County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,Pop 2000,Total per capita,Commercial per capita,Industrial per capita,Residential per capita,Electricity Prod per capita,Onroad per capita,Cement per capita,Aircraft per capita,Unknown per capita,Nonroad per capita,Transport per capita
AL,Cullman,1043,0.210965683,0.006455654,0.013876264,0.017834071,0.004871658,0.14259487,0,0.004078612,0.01025234,0.011002214,77483,2.722735084,0.083317032,0.179087849,0.230167538,0.062873896,1.840337495,0,0.052638792,0.132317282,0.1419952,2.167288769
AL,Dale,1045,0.274560137,0.005560785,0.018668711,0.011564073,1.49705E-06,0.148013373,0,0.024534176,0.06167118,0.004546342,49129,5.588555373,0.113187433,0.379993709,0.235381814,3.04718E-05,3.012749553,0,0.499382763,1.255290768,0.092538862,4.859961946
AL,Dallas,1047,0.10807255,0.004395936,0.011238765,0.010980336,0,0.058179864,0,0.004750682,0.011941716,0.00658525,46365,2.330908005,0.094811509,0.242397605,0.236823819,0,1.254822905,0,0.102462684,0.257558857,0.142030627,1.756875073
AL,DeKalb,1049,0.182911564,0.00493591,0.024655599,0.013925349,0,0.122515292,0,0.001768176,0.004444638,0.0106666,64452,2.837950172,0.076582733,0.382542038,0.216057674,0,1.900876491,0,0.027434,0.068960437,0.165496798,2.162767726
AL,Elmore,1051,0.148692508,0.003090922,0.016778183,0.014935931,0,0.088697224,0,0.004229881,0.010632589,0.010327777,65874,2.257226033,0.046921736,0.254701145,0.22673484,0,1.346467858,0,0.064211693,0.161407976,0.156780784,1.728868311
AL,Escambia,1053,0.316569,0.003138329,0.074802574,0.008641576,1.41726E-05,0.084582085,0,0.040001084,0.10055011,0.004839069,38440,8.23540582,0.081642276,1.945956663,0.22480687,0.000368694,2.200366422,0,1.040610915,2.615767698,0.125886282,5.982631318
AL,Etowah,1055,0.422519919,0.010792768,0.016143142,0.024342764,0.18397722,0.168522654,0,0.00279908,0.007036002,0.00890629,103459,4.083935851,0.10431928,0.156034195,0.235288991,1.778262116,1.628883458,0,0.027054965,0.068007637,0.086085208,1.810031269
AL,Fayette,1057,0.050568579,0.001348435,0.003597534,0.004261407,0,0.033394064,0,0.001642568,0.004128897,0.002195673,18495,2.734175643,0.072908108,0.194513875,0.230408601,0,1.805572542,0,0.088811464,0.223243939,0.118717113,2.236345058
AL,Franklin,1059,0.097400422,0.001944382,0.010379709,0.006997478,0,0.066290095,0,0.00216046,0.005430714,0.004197584,31223,3.119508775,0.062274033,0.332437921,0.224112937,0,2.123117403,0,0.069194506,0.173933124,0.134438852,2.500683885
AL,Geneva,1061,0.058763949,0.001225686,0.002764768,0.005884567,0,0.040328112,0,0.001063381,0.002673005,0.004824429,25764,2.280855025,0.047573585,0.107311279,0.22840271,0,1.565289248,0,0.041273904,0.103749623,0.187254675,1.897567451
AL,Greene,1063,1.07910429,0.000447021,0.000615538,0.002295445,1.021240212,0.05157135,0,0,0,0.002934724,9974,108.1917274,0.044818658,0.061714231,0.230142873,102.3902358,5.170578491,0,0,0,0.294237415,5.464815906
AL,Hale,1065,0.056899425,0.000584041,0.017867122,0.003969911,0,0.030392271,0,0.000224162,0.000563475,0.003298443,17185,3.310993607,0.033985516,1.039692882,0.231010233,0,1.768534836,0,0.013044063,0.032788773,0.191937304,2.006304977
AL,Henry,1067,0.067314081,0.000967078,0.002994571,0.003719954,0,0.040065315,0,0.004404348,0.011071137,0.004091677,16310,4.127166214,0.059293548,0.183603378,0.228078123,0,2.456487724,0,0.27003974,0.678794451,0.250869249,3.656191165
AL,Houston,1069,0.224509994,0.015839833,0.019561991,0.020284453,0,0.155723472,0,0,0,0.013100245,88787,2.528635878,0.178402616,0.220324949,0.228461966,0,1.753899468,0,0,0,0.14754688,1.901446347
AL,Jackson,1071,3.062147296,0.002954874,0.229866028,0.012162688,2.690737461,0.112033661,0,0.000831376,0.002089817,0.011471391,53926,56.78424686,0.054794979,4.262619673,0.22554405,49.89684866,2.077544435,0,0.015416972,0.038753419,0.212724678,2.344439502
AL,Jefferson,1073,7.520750421,0.160657943,0.921725191,0.15465333,4.864683618,1.108491216,0.083061465,0.037975064,0.095457329,0.094045266,662047,11.35984367,0.242668485,1.392235281,0.233598717,7.347942997,1.674339157,0.125461583,0.057360072,0.144185125,0.14205225,2.017936604
AL,Lamar,1075,0.04305934,0.000715559,0.004851386,0.003770596,0,0.031289172,0,0,0,0.002432628,15904,2.707453494,0.044992389,0.305041847,0.23708475,0,1.967377487,0,0,0,0.152957022,2.120334509
AL,Lauderdale,1077,0.181586492,0.010618609,0.014077895,0.01986466,0,0.123030846,0,0,0,0.013994482,87966,2.064280431,0.120712654,0.160037908,0.225822024,0,1.398618174,0,0,0,0.159089671,1.557707845
AL,Lawrence,1079,0.086971027,0.001195318,0.004403495,0.007975072,0,0.061490493,0,0.001421566,0.003573369,0.006911714,34803,2.498952007,0.034345266,0.126526315,0.229148985,0,1.766815868,0,0.040846073,0.102674163,0.198595338,2.108931441
AL,Lee,1081,0.416117787,0.010119567,0.026766365,0.024027972,0.160853161,0.153387125,0,0.007097903,0.017841892,0.016023801,115092,3.615523123,0.087925898,0.232564948,0.208771867,1.397605058,1.332734903,0,0.061671561,0.155022868,0.139226021,1.688655352
AL,Limestone,1083,0.260223351,0.004371511,0.013421898,0.014870257,0,0.132455801,0,0.019829651,0.049845492,0.025428742,65676,3.962228992,0.066561767,0.204365342,0.226418432,0,2.016806771,0,0.301931461,0.758960528,0.387184691,3.464883451
AL,Lowndes,1085,0.147278545,0.00031689,0.002360108,0.003062759,0.085907563,0.052566748,0,0,0,0.003064477,13473,10.93138461,0.023520369,0.175173144,0.227325677,6.376275704,3.901636491,0,0,0,0.227453223,4.129089715
AL,Macon,1087,0.093861536,0.002728592,8.37324E-05,0.005405292,0,0.076007368,0,0.00209669,0.005270418,0.002269444,24105,3.893861699,0.113196083,0.003473653,0.224239473,0,3.153178511,0,0.08698153,0.218644195,0.094148254,3.55295249
AL,Madison,1089,0.684463159,0.04739104,0.052433134,0.066003635,0,0.40321572,0,0.021686722,0.054513583,0.039219323,276700,2.473665192,0.171272281,0.189494523,0.238538617,0,1.457230648,0,0.078376299,0.197013312,0.141739513,1.874359771
AL,Marengo,1091,0.237252364,0.001522597,0.080886835,0.005453813,0,0.042644151,0.09895451,0.000574069,0.001443028,0.005773361,22539,10.5263039,0.067553899,3.588749929,0.24197226,0,1.892016114,4.390368256,0.025470009,0.064023598,0.256149831,2.237659553
AL,Marion,1093,0.114641296,0.002215589,0.012020153,0.0071756,0,0.08089115,0,0.002340391,0.005883006,0.004115406,31214,3.672752468,0.07098062,0.385088529,0.229884022,0,2.591502215,0,0.074978889,0.188473328,0.131844865,2.986799298
AL,Marshall,1095,0.206137925,0.008179398,0.046250717,0.018962015,0,0.10337606,0,0.003730685,0.009377761,0.016261289,82231,2.506815247,0.099468542,0.562448677,0.230594488,0,1.257142196,0,0.045368348,0.114041673,0.197751324,1.61430354
AL,Mobile,1097,5.40062491,0.056906155,0.491468323,0.093982988,3.886716864,0.509090706,0.167863044,0.041836335,0.105163354,0.047597141,399843,13.50686372,0.142321249,1.229153251,0.235049726,9.720607497,1.273226507,0.419822389,0.104631906,0.263011618,0.119039575,1.759909605
AL,Monroe,1099,0.07336676,0.002300623,0.015960096,0.00563334,0,0.036253998,0,0.002301896,0.005786245,0.005130561,24324,3.016229247,0.094582445,0.656146032,0.231595953,0,1.490462009,0,0.094634782,0.237882133,0.210925892,2.033904816
AL,Montgomery,1101,0.570772833,0.041838794,0.022380345,0.050752196,0,0.371380792,0,0.015208219,0.038228668,0.03098382,223510,2.55367918,0.187189807,0.100131294,0.227069016,0,1.66158468,0,0.06804268,0.17103784,0.138623863,2.039289063
AL,Morgan,1103,0.632854899,0.019810392,0.304906509,0.025840551,0.086389784,0.17440011,0,0.001641924,0.004127277,0.015738351,111064,5.698110089,0.17836916,2.745322597,0.232663605,0.777837862,1.570266787,0,0.014783583,0.03716125,0.141705243,1.763916864
AL,Perry,1105,0.031644315,0.000601637,0.002208309,0.002963817,0,0.023122276,0,0.00022223,0.000558616,0.00196743,11861,2.667929738,0.050723936,0.186182343,0.249879188,0,1.949437279,0,0.018736177,0.047096907,0.165873908,2.181144271
AL,Pickens,1107,0.056018521,0.000898473,0.00318513,0.004960412,0,0.040312234,0,0.000951831,0.002392602,0.00331784,20949,2.674042729,0.042888569,0.152042102,0.236785141,0,1.924303517,0,0.04543561,0.114210793,0.158376997,2.242326916
AL,Pike,1109,0.1204314,0.002517764,0.005497457,0.006696173,0,0.060587931,0,0.011472512,0.028838278,0.004821286,29605,4.06794124,0.085045241,0.185693524,0.226183849,0,2.046543859,0,0.387519406,0.974101599,0.162853761,3.571018626
AL,Randolph,1111,0.102818514,0.001072671,0.06265229,0.004764198,0,0.030214847,0,0.000334526,0.000840892,0.00293909,22380,4.59421422,0.047929875,2.799476787,0.212877497,0,1.350082544,0,0.014947525,0.037573351,0.131326642,1.533930062
AL,Russell,1113,0.15192148,0.00332076,0.040633382,0.011783957,0,0.09155577,0,0,0,0.004627611,49756,3.053329849,0.066740896,0.816652896,0.236834903,0,1.840095057,0,0,0,0.093006096,1.933101153
AL,St. Clair,1115,0.315158016,0.003518139,0.006590458,0.01502603,0,0.16173629,0.105218922,0.003855573,0.009691697,0.009520907,64742,4.8679067,0.054340899,0.101795711,0.232090915,0,2.498166418,1.625203458,0.05955288,0.149697211,0.147059208,2.854475718
AL,Shelby,1117,3.78113558,0.018579345,0.012057476,0.03444121,3.28332558,0.211988236,0.170183196,0.002266989,0.005698497,0.042595051,143293,26.38744098,0.12965982,0.084145606,0.240355143,22.91337037,1.479403987,1.187658826,0.015820657,0.039768148,0.297258421,1.832251214
AL,Sumter,1119,0.069176615,0.000823958,0.00254485,0.003679048,0,0.059028851,0,5.41081E-05,0.000136011,0.002909788,14798,4.674727328,0.055680342,0.171972588,0.248617908,0,3.988974957,0,0.003656448,0.00919119,0.196633895,4.19845649
AL,Talladega,1121,0.235126754,0.005489432,0.047531723,0.018246967,0,0.116790847,0,0.010277806,0.025835163,0.010954815,80321,2.927338476,0.068343668,0.591772054,0.227175543,0,1.454051211,0,0.127959142,0.321648923,0.136387934,2.04004721
AL,Tallapoosa,1123,0.14605753,0.0126356,0.032956576,0.009485658,0,0.069150533,0,0.004008328,0.010075676,0.007745157,41475,3.521579977,0.304655819,0.794613052,0.228707858,0,1.667282302,0,0.09664444,0.242933725,0.18674278,2.193603247
AL,Tuscaloosa,1125,0.666810764,0.021997609,0.204728734,0.037980381,0.000213329,0.342532275,0,0.009231626,0.023205399,0.02692141,164875,4.044341252,0.133419918,1.241720906,0.230358642,0.001293884,2.077527068,0,0.055991666,0.140745407,0.163283762,2.437547903
AL,Walker,1127,2.214015618,0.005711042,0.00393999,0.016807575,2.049769829,0.116888684,0,0.003623327,0.009107902,0.008167268,70713,31.30988104,0.080763675,0.05571805,0.237687206,28.98717109,1.653001342,0,0.051239903,0.128800959,0.115498819,1.948541023
AL,Washington,1129,1.308382664,0.000474713,0.029021137,0.004166999,1.236017352,0.035393034,0,0,0,0.003309429,18097,72.29831818,0.026231601,1.603643526,0.230259107,68.29957185,1.955740424,0,0,0,0.182871677,2.138612102
AL,Wilcox,1131,8.485902289,0.000522307,8.451879516,0.003161954,0,0.024562878,0,0.000348697,0.000876513,0.004550423,13183,643.7003936,0.039619725,641.1195871,0.239850895,0,1.863223718,0,0.026450489,0.066488117,0.345173591,2.301335915
AL,Winston,1133,0.067889948,0.001489643,0.013873093,0.005762039,0,0.037252464,0,0.001093328,0.002748279,0.005671101,24843,2.73275964,0.0599623,0.558430662,0.231938149,0,1.499515515,0,0.044009485,0.110625889,0.22827764,1.882428529
AK,Aleutians East,2013,0.199637646,0.001086289,0.147636097,0.000834753,0.011107885,0.004553744,0,0.005582477,0.02756185,0.001274552,2697,74.02211576,0.402776619,54.74085925,0.309511745,4.118607664,1.68844772,0,2.069883966,10.21944749,0.472581309,14.45036049
AK,Aleutians West,2016,0.299490191,0.00457957,0.258464416,0.001906019,0.016612413,0.006410039,0,0.001600208,0.007900563,0.002016964,5465,54.80149885,0.837981645,47.2944951,0.34876833,3.039782763,1.172925692,0,0.292810323,1.4456656,0.369069397,3.280471011
AK,Anchorage,2020,1.929370205,0.359552568,0.571816525,0.190491099,0.001438303,0.262053174,0,0.082885172,0.409221326,0.051912039,260283,7.412586319,1.381390901,2.196903082,0.731861469,0.005525919,1.006800957,0,0.318442511,1.572216879,0.199444601,3.096904948
AK,Bethel,2050,0.344295179,0.013877644,0.009196289,0.006613331,0.007573529,0.024860385,0,0.046892625,0.231518638,0.003762738,16006,21.51038229,0.867027615,0.574552598,0.413178246,0.473168127,1.553191598,0,2.929690426,14.46449072,0.235082963,19.18245571
AK,Bristol Bay,2060,0.114230579,0.001191473,0.009571758,0.000792651,0,0.002084167,0,0.01684131,0.083149047,0.000600173,1258,90.8033216,0.947117089,7.60871028,0.630088335,0,1.656730468,0,13.38736849,66.09622174,0.477085199,81.6174059
AK,Denali,2068,0.036028211,0.000622633,0,0.002903977,0.023989354,0.003396266,0,0.000771134,0.00380725,0.000537597,1893,19.03233522,0.328913355,0,1.534060523,12.67266463,1.794118112,0,0.407360885,2.011225404,0.28399231,4.496696711
AK,Dillingham,2070,0.228903916,0.004616188,0.071083257,0.002564554,0,0.009099588,0,0.023603798,0.116536859,0.001399672,4922,46.50628119,0.937868427,14.44194575,0.521038989,0,1.848758159,0,4.795570523,23.67672872,0.284370621,30.60542802
AK,Fairbanks North Star,2090,1.120468774,0.082135322,0.372849097,0.067059809,0.35633063,0.050207866,0,0.030106649,0.148642788,0.013136613,82840,13.52569741,0.9914935,4.500834107,0.809510007,4.30143204,0.606082397,0,0.363431306,1.794335923,0.158578133,2.92242776
AK,Haines,2100,0.036895142,0.001411359,0.000213894,0.001249498,0,0.004191812,0,0.004941872,0.02439905,0.000487656,2392,15.42439047,0.59003305,0.089420578,0.522365441,0,1.752429893,0,2.066000062,10.20027178,0.20386966,14.2225714
AK,Juneau,2110,0.331425496,0.03455341,0.014121264,0.015171174,0.0005091,0.02507117,0,0.040061672,0.197792803,0.004144904,30711,10.79175201,1.125115104,0.459811263,0.493998035,0.01657711,0.816357983,0,1.304473053,6.440454658,0.134964805,8.6962505
AK,Kenai Peninsula,2122,0.86801528,0.036870961,0.55106065,0.034728038,0.034860937,0.08202003,0,0.020198781,0.09972558,0.008550303,49691,17.46825943,0.742004811,11.08974764,0.698879834,0.701554349,1.650601317,0,0.406487712,2.006914328,0.172069444,4.236072802
AK,Ketchikan Gateway,2130,0.137266801,0.016449989,0.081441839,0.007798731,0,0.012174257,0,0.002908519,0.014359965,0.0021335,14070,9.755991562,1.16915344,5.788332562,0.554280825,0,0.865263487,0,0.2067178,1.020608763,0.151634684,2.244224734
AK,Kodiak Island,2150,0.226857548,0.00956177,0.078873421,0.006894981,0,0.012054751,0,0.019643271,0.096982913,0.00284644,13913,16.30543719,0.687254398,5.669044851,0.495578337,0,0.866437953,0,1.411864513,6.970668641,0.204588494,9.453559601
AK,Lake and Peninsula,2164,0.086269206,0.000373254,0.000525502,0.000917668,0,0.002927225,0,0.01323749,0.065356238,0.002931828,1823,47.32265815,0.204747329,0.288262327,0.503383627,0,1.605718858,0,7.261376692,35.85092603,1.608243283,46.32626487
AK,Matanuska-Susitna,2170,0.288135601,0.034183879,0.009143969,0.039710388,0,0.089706495,0,0.018172631,0.089722057,0.007496182,59322,4.857145765,0.576242864,0.154141288,0.66940407,0,1.512196059,0,0.30633881,1.512458392,0.126364284,3.457357544
AK,Nome,2180,0.206773322,0.007234911,0.000525502,0.004378907,0.001511821,0.013083412,0,0.029921873,0.147730505,0.002386391,9196,22.48513721,0.786745449,0.057144652,0.476175222,0.164399868,1.422728547,0,3.253792139,16.06464818,0.25950315,21.00067201
AK,North Slope,2185,2.792107168,0.01616982,2.390996427,0.004237267,0.259555431,0.007983283,0,0.018604729,0.091855416,0.002704796,7385,378.0781541,2.189549091,323.7639035,0.573766631,35.14630077,1.081013235,0,2.51925921,12.43810644,0.366255319,16.4046342
AK,Northwest Arctic,2188,0.215742271,0.005166586,6.07624E-07,0.002979932,0.014785249,0.00945188,0,0.030583392,0.150996562,0.001778062,7208,29.93094763,0.716784906,8.42985E-05,0.413420126,2.05122768,1.311304174,0,4.242978844,20.94846866,0.246678936,26.74943062
AK,Prince of Wales-Oute,2201,0.071135301,0.002484759,0.005989033,0.002921954,0,0.010411944,0,0.007246988,0.035779885,0.006300738,6146,11.5742435,0.404288827,0.974460242,0.475423619,0,1.694100912,0,1.179138898,5.821653957,1.025177047,9.720070814
AK,Sitka,2220,0.068980838,0.009969557,0.011175963,0.00431607,0,0.007118243,0,0.00586723,0.028967737,0.001566038,8835,7.807678307,1.128416224,1.264964653,0.488519488,0,0.805686827,0,0.664089468,3.278747792,0.177253854,4.925777942
AK,Skagway-Hoonah-Angoo,2232,0.063131576,0.001590155,0.003153013,0.001965475,0,0.005953621,0,0.008292422,0.04094141,0.00123548,850,74.27244219,1.870770268,3.709427451,2.312323063,0,7.004260513,0,9.755790173,48.16636475,1.453505969,66.37992141
AK,Southeast Fairbanks,2240,0.084161489,0.002061575,0.002835781,0.002413376,0,0.010161213,0,0.011038134,0.054497563,0.001153846,6174,13.63159852,0.333912443,0.459310208,0.390893481,0,1.645807132,0,1.787841616,8.826945771,0.186887864,12.44748238
AK,Valdez-Cordova,2261,0.24038666,0.007670624,0.132706479,0.006104525,0.035344505,0.018270707,0,0.006258837,0.030901182,0.003129802,10195,23.57887789,0.752390751,13.01681987,0.598776323,3.466847004,1.792124276,0,0.613912446,3.031013395,0.306993825,5.744043943
AK,Wade Hampton,2270,0.177849013,0.00280957,0.000525502,0.002512355,0,0.013092591,0,0.026524473,0.130956839,0.001427681,7028,25.30577867,0.399768115,0.074772655,0.357477963,0,1.862918455,0,3.774114026,18.63358557,0.203141888,24.47375994
AK,Wrangell-Petersburg,2280,0.079809347,0.00470828,0.008341867,0.003896906,0,0.008429331,0,0.008880576,0.043845251,0.001707136,6684,11.94035715,0.704410581,1.248035144,0.583020074,0,1.261120711,0,1.328631972,6.559732312,0.255406352,9.404891347
AK,Yakutat,2282,0.054459324,0.000386417,0.034429762,0.000424784,0,0.00136013,0,0.002901461,0.014325116,0.000631653,808,67.40015318,0.478239075,42.6110918,0.525723352,0,1.683328735,0,3.590917191,17.72910438,0.78174865,23.78509895
AK,Yukon-Koyukuk,2290,0.442714622,0.00214634,0,0.002251794,0,0.011501741,0,0.07140181,0.352525581,0.002887356,6551,67.57970116,0.327635493,0,0.343732843,0,1.755722892,0,10.8993757,53.81248377,0.440750468,66.90833282
AZ,Apache,4001,3.246622951,0.007100498,0.000764779,0.00616784,3.00998851,0.204444363,0,0.003835086,0.009640194,0.00468168,69423,46.76581177,0.102278754,0.011016223,0.088844327,43.35722326,2.944908214,0,0.055242298,0.138861678,0.067437019,3.20644921
AZ,Cochise,4003,1.209644194,0.013136776,0.011624309,0.025661383,0.75993763,0.281948461,0,0.028620188,0.071942132,0.016773315,117755,10.27255058,0.11156024,0.098716052,0.217921814,6.453548726,2.394365086,0,0.243048604,0.610947574,0.142442484,3.390803747
AZ,Coconino,4005,5.632171046,0.043943358,0.023178512,0.021663496,5.065879602,0.331677839,0,0.035113179,0.088263461,0.022451599,116320,48.41962729,0.377779897,0.199265062,0.186240509,43.55123455,2.851425717,0,0.301867086,0.758798665,0.193015809,4.105107277
AZ,Gila,4007,0.132577468,0.003118123,0.010649151,0.011006349,0,0.077051622,0,0.004725552,0.011878545,0.014148125,51335,2.582594096,0.060740691,0.207444265,0.214402444,0,1.500956888,0,0.092053211,0.231392717,0.275603881,2.100006696
AZ,Graham,4009,0.064765768,0.002276983,0.001607983,0.005678347,0,0.043858231,0,0.001997623,0.005021393,0.004325209,33489,1.933941533,0.067991978,0.048015248,0.169558585,0,1.309630945,0,0.059650115,0.149941551,0.129153112,1.648375722
AZ,Greenlee,4011,0.016846724,0.000490051,8.9902E-05,0.001896743,2.56845E-05,0.007816348,0,0.001676357,0.004213835,0.000637804,8547,1.971068734,0.057335993,0.010518548,0.221919157,0.003005085,0.914513682,0,0.196133956,0.493019133,0.074623181,1.678289952
AZ,La Paz,4012,0.137815872,0.001850716,0.001638813,0.004108363,0,0.116435038,0,0.001935042,0.004864088,0.006983811,19715,6.990406892,0.093873487,0.083125169,0.2083877,0,5.905911153,0,0.098150763,0.246720176,0.354238445,6.605020537
AZ,Maricopa,4013,7.481091102,0.68973843,0.266781878,0.259266325,0.573111189,4.027873038,0,0.305933869,0.769021287,0.589365088,3072149,2.435132899,0.224513339,0.086838847,0.084392497,0.186550584,1.311092996,0,0.099583018,0.250320309,0.19184131,1.852837633
AZ,Mohave,4015,1.012747431,0.022140515,0.021084267,0.024725427,0.480382537,0.365657597,0,0.015338314,0.038555688,0.044863085,155032,6.532505745,0.142812548,0.135999454,0.159485959,3.098602461,2.358594334,0,0.098936439,0.248695033,0.289379516,2.995605322
AZ,Navajo,4017,2.545904773,0.006120012,0.149799686,0.014171209,2.067945392,0.252463026,0,0.012817119,0.032218199,0.01037013,97470,26.11988071,0.062788677,1.536879918,0.145390468,21.21622439,2.590161342,0,0.131498092,0.330544773,0.106393048,3.158597254
AZ,Pima,4019,2.195879117,0.074104783,0.156466726,0.154825224,0.31521759,1.029196498,0.124261575,0.065923052,0.16570977,0.110173898,843746,2.602535736,0.087828307,0.185442925,0.183497432,0.373592989,1.219794225,0.147273676,0.078131395,0.196397696,0.130577091,1.624900407
AZ,Pinal,4021,0.960425343,0.006627635,0.016293777,0.021469627,0.430276039,0.395439808,0,0.013002283,0.032683638,0.044632536,179727,5.343801113,0.036876126,0.09065848,0.11945688,2.394053422,2.200224828,0,0.072344629,0.181851576,0.248335173,2.702756205
AZ,Santa Cruz,4023,0.117142261,0.003617885,0.004386272,0.006357584,0.000569549,0.083074624,0,0.003759942,0.009451309,0.005925097,38381,3.052089853,0.094262397,0.114282384,0.165644031,0.01483934,2.164472619,0,0.097963624,0.246249674,0.154375785,2.663061701
